T?NG H?P CÁC S?N PH?M C?A PAULA'S CHOICE SKINCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã S?n Ph?m ,Tên Ti?ng Anh,Tên Ti?ng Vi?t ,Tên nhãn hàng,Dung tích,giá bán l? niêm y?t,Th?i h?n s? d?ng,Công d?ng,H??ng d?n s? d?ng,Hình ?nh,Xu?t x?,LINK TRANG WEB PC VN,SÔ CÔNG B?,Note,,,,,,,,,,,,,,,,,,
1,1050,Skin Recovery Softening Cream Cleaser,PAULA'S CHOICE  S?a r?a m?t ph?c h?i và làm m?m da,PAULA'S CHOICE,237ml,"660,000",36 tháng,"CÔNG DU?NG
LÀM S?CH DA
V?i công th?c giàu thành ph?n hydrat, d? dàng r?a s?ch trên da
CÂN B?NG ?? ?M
Ch?a nhi?u thành ph?n c?p ?m t?ng c??ng giúp duy trì làn da m?m m??t
LO?I B? TH??NG T?N
Lo?i b? các d?u hi?u b? th??ng t?n nh? m?n ??, khô tróc, n?p nh?n...

S??a r??a m??t da?nh cho da khô Skin Recovery Softening Cream Cleanser giu?p la?m sa?ch nhe? nha?ng, loa?i bo? nhanh cho?ng l??p make up ma? vâ?n ?a?m ba?o không la?m mâ?t ?i ca?c d???ng châ?t thiê?t yê?u trên da.
S??a r??a m??t da?nh cho da khô Skin Recovery  Softening Cream Cleanser ch??a nhiê?u ca?c tha?nh phâ?n câ?p â?m t?ng c???ng giu?p duy tri? la?n da mê?m m???t, loa?i bo? ca?c dâ?u hiê?u bi? th??ng tô?n nh? mâ?n ?o?, khô tro?c, nê?p nh?n… nhe? nha?ng la?m sa?ch, loa?i bo? l??p makeup va? thông thoa?ng lô? chân lông.
SKIN RECOVERY Softening Cream Cleanser là m?t s?n ph?m s?a r?a m?t da?nh cho da khô v?i công th?c giàu thành ph?n hydrat, dê? da?ng r??a sa?ch trên da. SKIN RECOVERY Softening Cream Cleanser không ch? nh? nhàng ho?t ??ng trên da khô ??n r?t khô, mà còn c?i thi?n m?t cách rõ ràng vùng da th??ng tô?n do mâ?t cân b??ng ?ô? â?m gây ra.
Loa?i da phu? h??p
SKIN RECOVERY Softening Cream Cleanser dành cho da khô ??n r?t khô ho??c nh?ng ai mong muô?n ti?m mô?t sa?n phâ?m s??a r??a m??t co? thê? a?p du?ng ca? cho vu?ng da quanh m??t nha?y ca?m.","H???NG DÂ?N S?? DU?NG
Làm ??t m?t và thoa m?t l??ng kem v?a ??
lên da m?t và vùng quanh m?t, massage nh?
nhàng. Sau ?ó r?a l?i v?i n??c. ?? lo?i b? l?p
make up dày, b?n nên k?t h?p v?i d?u t?y
trang PERFECT CLEANSING OIL.",https://drive.google.com/drive/folders/1_bYQgQwVaUvOQaVRHsJdqa1DbBINTN-B,Xu?t x? : M?,https://paulaschoice.vn/skin-recovery-softening-cream-cleanser,https://imgur.com/a/lIfDyja,,,,,,,,,,,,,,,,,,,
2,1100,Hydratlight One Step Face Cleanser,PAULA'S CHOICE S?a r?a m?t d??ng ?m dành cho m?i lo?i da Hydralight One Step Cleanser ,PAULA'S CHOICE,237ml ,"660,000",36 tháng,"CÔNG DU?NG
- Lo?i b? các t?p ch?t và l?p make up hi?u qu?
- Ca?i thiê?n ki?ch th???c lô? chân lông
- Bô? sung ?ô? â?m câ?n thiê?t cho da

S??a r??a m??t Hydralight One Step Cleanser giúp lo?i b? các t?p ch?t và l?p make up hi?u qu?, ??ng th?i ??nh hình l?i c?u trúc da m?t cách t?i ?u. ??c bi?t, s?n ph?m không có ch?t t?o mùi, t?o màu ??m b?o tính an toàn cao cho ng??i s? d?ng. Sa?n phâ?m na?y s? h?u thành ph?n Sodium Laureth Sulfate làm s?ch hi?u qu? nh?ng không gây khô, rát da. Bên c?nh ?ó, s?n ph?m này còn ch?a hàm l??ng ho?t ch?t d??ng ?m, c?i thi?n l?p màng ?m b?o v? da t?t nh?t.

Loa?i da phu? h??p: Da dâ?u, hô?n h??p thiên dâ?u","H???NG DÂ?N S?? DU?NG

Làm ??t da m?t sau ?ó cho m?t l??ng s?n ph?m v?a ?? ra tay. Thoa ??u lên vùng da m?t và massage nh? nhàng theo chuy?n ??ng tròn ??u. Cuô?i cu?ng r?a m?t l?i v?i n??c s?ch va? th??c hiê?n ca?c b???c ch?m so?c da tiê?p theo.

","https://drive.google.com/drive/folders/1r_bk1_skhoFgYbtn1NGzlY7i8KvorutU
https://drive.google.com/drive/folders/1L1ybD4vt9FIeHXhySG4LJz2DmUZP8oIA",Xu?t x? : M?,https://paulaschoice.vn/hydralight-one-step-cleanser,https://imgur.com/a/i92DEFG,,,,,,,,,,,,,,,,,,,
3,1101,Hydratlight One Step Cleanser ,PAULA'S CHOICE S?a r?a m?t d??ng ?m dành cho m?i lo?i da Hydralight One Step Cleanser ,PAULA'S CHOICE,473ml,"850,000",37 tháng,"CÔNG DU?NG
- Lo?i b? các t?p ch?t và l?p make up hi?u qu?
- Ca?i thiê?n ki?ch th???c lô? chân lông
- Bô? sung ?ô? â?m câ?n thiê?t cho da

S??a r??a m??t Hydralight One Step Cleanser giúp lo?i b? các t?p ch?t và l?p make up hi?u qu?, ??ng th?i ??nh hình l?i c?u trúc da m?t cách t?i ?u. ??c bi?t, s?n ph?m không có ch?t t?o mùi, t?o màu ??m b?o tính an toàn cao cho ng??i s? d?ng. Sa?n phâ?m na?y s? h?u thành ph?n Sodium Laureth Sulfate làm s?ch hi?u qu? nh?ng không gây khô, rát da. Bên c?nh ?ó, s?n ph?m này còn ch?a hàm l??ng ho?t ch?t d??ng ?m, c?i thi?n l?p màng ?m b?o v? da t?t nh?t.

Loa?i da phu? h??p: Da dâ?u, hô?n h??p thiên dâ?u","H???NG DÂ?N S?? DU?NG

Làm ??t da m?t sau ?ó cho m?t l??ng s?n ph?m v?a ?? ra tay. Thoa ??u lên vùng da m?t và massage nh? nhàng theo chuy?n ??ng tròn ??u. Cuô?i cu?ng r?a m?t l?i v?i n??c s?ch va? th??c hiê?n ca?c b???c ch?m so?c da tiê?p theo.

","https://drive.google.com/drive/folders/1r_bk1_skhoFgYbtn1NGzlY7i8KvorutU
https://drive.google.com/drive/folders/1L1ybD4vt9FIeHXhySG4LJz2DmUZP8oIA",Xu?t x? : M?,https://paulaschoice.vn/hydralight-one-step-cleanser,https://imgur.com/a/i92DEFG,,,,,,,,,,,,,,,,,,,
4,1150,Skin Balancing Oil Reducing Cleanser,PAULA'S CHOICE S?a r?a m?t cân b?ng ?? ?m và gi?m d?u,PAULA'S CHOICE,237ml,"660,000",36 tháng,"CÔNG D?NG: 

- Nh? nhàng l?y ?i l?p trang ?i?m, làm s?ch sâu trong l? chân lông giúp da t??i sáng và m?m m?n.
- Hoàn toàn không ch?a ch?t t?o màu và ch?t t?o mùi nâng cao ?? an toàn cho da 
- T?o l?p màng ?m trên da sau khi làm s?ch, c?ng c? hàng rào b?o v? da 
- Gi?m ti?t d?u th?a trên da hi?u qu?

Công th?c ??c bi?t c?a Skin Balancing Oil-Reducing Cleanser không ch? giúp làm s?ch da m?t cách nh? nhàng mà còn h?n ch? s? ti?t d?u quá m?c, h? tr? làn da ??t tr?ng thái lý t??ng ?? h?p thu d??ng ch?t ? nh?ng b??c ch?m sóc da sau ?ó. N?u ?ang s? h?u làn da bóng d?u thì ?ây chính là s? l?a ch?n t?t nh?t dành cho b?n ? b??c làm s?ch da. 

PHÙ H?P V?I LO?I DA: Da th??ng ??n da d?u ","H??NG D?N S? D?NG:
Làm ??t m?t và thoa m?t l??ng kem v?a ?? lên da, massage nh? nhàng sau ?ó làm s?ch l?i b?ng n??c. N?u g??ng m?t có l?p makeup dày, hãy ??m b?o t?y trang k? v?i GENTLE TOUCH MAKEUP REMOVER tr??c khi r?a m?t b?ng Skin Balancing Oil-Reducing Cleanser.","https://drive.google.com/drive/folders/1nczbzy-k-KRJsTnpOZIbvSY5ldj-NawI
https://drive.google.com/drive/folders/1tVGUMixl2CRrAgV6zniImu7G6nguoYew",Xu?t x? : M?,https://paulaschoice.vn/skin-balancing-oil-reducing-cleanser,https://imgur.com/a/6VYQ8xJ,,,,,,,,,,,,,,,,,,,
5,1151,Skin Balancing Oil Reducing Cleanser -Size Chuyên nghi?p -Dùng cho Spa ,PAULA'S CHOICE S?a r?a m?t cân b?ng ?? ?m và gi?m d?u,PAULA'S CHOICE,473ml,"850,000",36 tháng,"CÔNG D?NG: 

- Nh? nhàng l?y ?i l?p trang ?i?m, làm s?ch sâu trong l? chân lông giúp da t??i sáng và m?m m?n.
- Hoàn toàn không ch?a ch?t t?o màu và ch?t t?o mùi nâng cao ?? an toàn cho da 
- T?o l?p màng ?m trên da sau khi làm s?ch, c?ng c? hàng rào b?o v? da 
- Gi?m ti?t d?u th?a trên da hi?u qu?

Công th?c ??c bi?t c?a Skin Balancing Oil-Reducing Cleanser không ch? giúp làm s?ch da m?t cách nh? nhàng mà còn h?n ch? s? ti?t d?u quá m?c, h? tr? làn da ??t tr?ng thái lý t??ng ?? h?p thu d??ng ch?t ? nh?ng b??c ch?m sóc da sau ?ó. N?u ?ang s? h?u làn da bóng d?u thì ?ây chính là s? l?a ch?n t?t nh?t dành cho b?n ? b??c làm s?ch da. 

PHÙ H?P V?I LO?I DA: Da th??ng ??n da d?u ","H??NG D?N S? D?NG:
Làm ??t m?t và thoa m?t l??ng kem v?a ?? lên da, massage nh? nhàng sau ?ó làm s?ch l?i b?ng n??c. N?u g??ng m?t có l?p makeup dày, hãy ??m b?o t?y trang k? v?i GENTLE TOUCH MAKEUP REMOVER tr??c khi r?a m?t b?ng Skin Balancing Oil-Reducing Cleanser.","https://drive.google.com/drive/folders/1nczbzy-k-KRJsTnpOZIbvSY5ldj-NawI
https://drive.google.com/drive/folders/1tVGUMixl2CRrAgV6zniImu7G6nguoYew",Xu?t x? : M?,https://paulaschoice.vn/skin-balancing-oil-reducing-cleanser,https://imgur.com/a/6VYQ8xJ,,,,,,,,,,,,,,,,,,,
6,1310,Hydralight Healthy Skin Refreshing Toner,PAULA'S CHOICE N??c hoa h?ng d??ng ?m và tái t?o,PAULA'S CHOICE,190ml,690000,36 tháng,"CÔNG D?NG: 

- Cân b?ng ?? pH  trên da 
- Bô? sung ?ô? â?m nhanh cho?ng sau khi v??a m??i r??a m??t xong
- Làm s?ch m?t l?n n?a nh?ng t?p ch?t còn sót l?i sau khi r?a m?t 
- Tái t?o t? bào, gi?m thi?u m?n ??

Hydralight Healthy Skin Refreshing Toner ch??a nhiê?u châ?t chô?ng oxy ho?a, la?m di?u da nhanh cho?ng va? ???c biê?t không gây ki?ch ??ng. ????c coi la? loa?i toner co? kê?t câ?u ???c biê?t, n???c cân b??ng da da?nh cho da dâ?u va? da hô?n h??p Hydralight Healthy Skin Refreshing Toner vô cu?ng ly? t???ng khi cung câ?p ca?c tha?nh phâ?n thiê?t yê?u, không la?m bi?t t??c lô? chân lông ?ô?ng th??i ?ê? la?i thê? châ?t thoa?ng mi?n trên da.

PHÙ H?P V?I LO?I DA: Da d?u, da h?n h?p","H??NG D?N S? D?NG 

Sau khi la?m s?ch m?t, ba?n thoa ??u s?n ph?m lên toa?n bô? g??ng m??t. Không câ?n pha?i r??a la?i v??i n???c va? tiê?p tu?c th??c hiê?n ca?c b???c ch?m so?c da sau ?o?. Luôn du?ng ke?m v??i kem chô?ng n??ng co? chi? sô? SFP t?? 30 tr?? lên trong qui trình ch?m sóc da ban nga?y.","https://drive.google.com/drive/folders/1ceS0qzXar6PHPY0C7pcYr0arCGAZ6xDr
https://drive.google.com/drive/folders/17FecK-AsvGA0R0pz0A-I23lICmn3-YV0",Xu?t x? : M?,https://paulaschoice.vn/hydralighthealthy-skin-refreshing-toner,https://imgur.com/a/MZBTmzo,,,,,,,,,,,,,,,,,,,
7,1350,Skin Balancing Pore Reducing Toner,PAULA'S CHOICE N??c hoa h?ng cân b?ng và ?i?u ch?nh l? chân lông SKIN BALACING Pore-Reducing Toner 190ML,PAULA'S CHOICE,190 ml,690000,36 tháng,"CÔNG DU?NG
- Duy tri? PH t?? nhiên
- Bô? sung ?ô? â?m t?? nhiên 
- ?iê?u chi?nh ba?i tiê?t ba? nh??n


SKIN BALANCING Pore-Reducing Toner co? nhiê?u ?iê?m ???c biê?t h?n so v??i nh??ng my? phâ?m cu?ng ch??c n?ng kha?c. Nh?? s?? xuâ?t hiê?n cu?a ca?c châ?t chô?ng oxy ho?a va? ?iê?u chi?nh ba?i tiê?t ba? nh??n, la?n da cu?a ba?n se? ngay lâ?p t??c xuâ?t hiê?n ca?m gia?c di?u nhe?, dê? chi?u va? không bi? nh??n di?nh.  Không ??n thuâ?n chi? la? loa?i toner duy tri? ?ô? pH ?? m??c ô?n ?i?nh, SKIN BALANCING Pore-Reducing Toner co?n ????c coi nh? loa?i d???ng châ?t hoa?n ha?o, bô? sung ?ô? â?m cho la?n da.

Loa?i da phu? h??p: Da dâ?u, hô?n h??p thiên dâ?u,  da có v?n ?? lô? chân lông to","H???NG DÂ?N S?? DU?NG: 
Sau b??c r?a m?t, ?? m?t l??ng nh? ra tay ho??c mi?ng bông t?y trang và nh? nhàng thoa lên toàn b? khuôn m?t,vùng c?, không c?n r?a l?i. Ti?p t?c dùng các b??c d??ng sau ?ó.
*L?u ý: Vào ban ngày, b?n dùng kèm kem ch?ng n?ng có ch? s? SPF 30 ho?c cao h?n ?? b?o v? toàn di?n cho da.

","https://drive.google.com/drive/folders/1cYAmZS0rBRaW4Rb5DaLYwqHlaQZollcf
https://drive.google.com/drive/folders/16Am21-_piLB8sEb-tnRkRntaY9vJ_s2G",Xu?t x? : M?,https://paulaschoice.vn/skin-balancing-pore-reducing-toner,https://imgur.com/a/gxh1hTp,,,,,,,,,,,,,,,,,,,
8,1250,Skin Recovery Enriched Calming Toner ,PAULA'S CHOICE Toner ph?c h?i ?? ?m cho da ,PAULA'S CHOICE,190ml,"690,000",36 tháng,"CÔNG DU?NG
N???c cân b??ng da  Skin Recovery Enriched Calming Toner nhanh cho?ng bô? sung ?ô? â?m, giu?p cân b??ng ?ô? pH ?ô?ng th??i la?m sa?ch da hiê?u qua?.
N?m trong b? SKIN RECOVERY, n???c cân b??ng da Skin Recovery Enriched Calming Toner có vai trò quan tr?ng giúp b? sung ?? ?m cho làn da, c?i thi?n tình tr?ng khô ráp và d? b? m?n do tác h?i c?a môi tr??ng. Bên c?nh ?ó, nó chính là s?n ph?m giúp cân b?ng PH, làm s?ch da hi?u qu?.
N???c cân b??ng da Skin Recovery Enriched Calming Toner b? sung ?ô? â?m l?n, ngay l?p t?c làm d?u vùng da khô. ??c bi?t, s?n ph?m còn ???c t?ng c??ng thêm nh?ng thành ph?n ch?ng oxy hóa, giúp da sáng m?n.

M?t khác, t??ng t? nh? nhi?u s?n ph?m c?a Paula’s Choice, Skin Recovery Enriched Calming Toner không có ch?t t?o màu, t?o mùi. Vì th?, b?n có th? yên tâm s? d?ng s?n ph?m.","H???NG DÂ?N S?? DU?NG: 
Sau khi r?a m?t, b?n ?? m?t l??ng nh? ra mi?ng
bông t?y trang và nh? nhàng thoa lên toàn b?
khuôn m?t, vùng c?, không c?n r?a l?i. Ti?p theo
là các b??c ch?m sóc da (ngày ho?c ?êm).
*L?u ý: ban ngày b?n c?n ghi nh? thoa kem
ch?ng n?ng có ch? s? SPF 30 ho?c cao h?n.",https://drive.google.com/drive/folders/1cpmcutNsb4rtNUxBi7JXLXrrzRvbCMHd,Xu?t x? : M?,https://paulaschoice.vn/skin-recovery-enriched-calming-toner,https://imgur.com/a/uxo2luj,,,,,,,,,,,,,,,,,,,
9,1460,Skin Recovery Daily Moisturizing Lotion Broad Spectrum SPF 30,PAULA'S CHOICE Kem d??ng ?m ph?c h?i da ch?ng oxy hóa ch?a SPF 30,PAULA'S CHOICE,60ml,"850,000",36 tháng,"CÔNG D?NG:
– Giúp cho da ch?ng l?i các tác nhân gây ra lão hóa t? môi tr??ng.
– Có ch?a ph?c h?p các chu?i axit amin ??c ?áo giúp ch?ng lão hóa.
– Công th?c kem có ch?a thành ph?n tái t?o da, l?p t?c c?p ?m cho da khô.

Skin Recovery Daily Moisturizing Lotion SPF30 là kem d??ng ph?c h?i da ch?ng n?ng phù h?p cho da nh?y c?m, da kh? c?n b? sung các tinh ch?t tái t?o. ?ây là g?i ý cho b??c ch?m sóc da cu?i cùng tr? nên hoàn h?o nh?t.  S?n ph?m s? h?u thành ph?n d??ng ?m d?u nh? t? khoáng ch?t dành cho da khô ??n r?t khô, b? sung ch? s? SPF ch?ng n?ng ??ng th?i làm m?m và tái t?o da. 

PHÙ H?P CHO LO?I DA: Dành cho da khô ??n r?t khô","H??NG D?N S? D?NG:

S?? du?ng sa?n phâ?m sau b???c cuô?i cu?ng trong quy tri?nh ch?m so?c da ban nga?y. Thoa SKIN RECOVERY Daily Moisturizing Lotion SPF 30 tr???c 15 – 20 phút khi ?i ra ngoa?i. Trong tr???ng h??p ba?n co? kê? hoa?ch ?i b?i hay ra mô? hôi, ha?y thoa nh??c la?i lâ?n n??a ?ê? ba?o vê? da tô?t nhâ?t.

 
","https://drive.google.com/drive/folders/1ocu5L7ke1UhxqQ0V3dtE82AkzJqVwPMq
https://drive.google.com/drive/folders/13oPcGAHYpVA1fvvZAvPurPjwYPu_AyXL",Xu?t x? : M?,https://paulaschoice.vn/skin-recovery-daily-moisturizing-lotion-spf-30,https://imgur.com/a/DmqbKRB,,,,,,,,,,,,,,,,,,,
10,1560,Skin Balancing Oil Reducing Cleanser,PAULA'S CHOICE S?a r?a m?t cân b?ng ?? ?m và gi?m d?u ,PAULA'S CHOICE,60ml,"850,000",37 tháng,"CÔNG D?NG:
Skin Balancing Ultra – Sheer Daily Defense SPF30 là s?n ph?m “2 in 1” b? sung d??ng ch?t thi?t y?u cho da và t?ng c??ng khoáng ch?t ch?ng n?ng, duy trì làn da ??u màu, t??i tr?, c?i thi?n l? chân lông to, thích h?p cho da d?u, h?n h?p. S?n ph?m Skin Balancing Ultra – Sheer Daily Defense SPF30 là s?n ph?m kem d??ng ?m ch?ng n?ng ban ngày d?u nh? dành cho da th??ng ??n da d?u giúp b?o v? da ch?ng l?i các d?u hi?u lão hóa v?i ch? s? ch?ng n?ng SPF 30..
– Dành cho da có tình tr?ng l? chân lông to.
– Dành cho da th??ng ??n da d?u, da h?n h?p.
– Giúp duy trì làn da ??u màu, t??i tr?.
– Là m?t l?p lót hoàn h?o.
– Công th?c d?ng dung d?ch siêu nh?.
– S? d?ng nh? b??c cu?i cùng c?a qui trình ch?m sóc da ban ngày.","H??NG D?N S? D?NG
B?n nên s? d?ng SKIN BALANCING Ultra-Sheer Daily Defense Broad Spectrum SPF 30 ? b??c cu?i cùng trong quy trình ch?m sóc da ban ngày ?? ??t hi?u qu? t?t nh?t. Hãy thoa s?n ph?m tr??c 15 – 30 phút tr??c khi ra n?ng.",https://drive.google.com/drive/folders/1hf462MVpTIK5FSzqz2cGScu23ypZ8R13,Xu?t x? : M?,https://paulaschoice.vn/skin-balancing-ultra-sheer-daily-defense-broad-spectrum-spf-30,https://imgur.com/a/sQ3ocSI,,,,,,,,,,,,,,,,,,,
